Class Name,Subject Name,Chapter,Language,Question,Option 1,Option 2,Option 3,Option 4,Correct Response,Image
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,^^ge O;fDr;ksa dh {kerk bl lhek rd fodflr djsa ftlls og viuh is'kk dk pquko Lo;a dj lds A** mDr iafDr ds ys[kd gSa&,ckck lkgsc Hkhejko vacsMdj,xq.kkdkj eqys,gtkjh izlkn f}osnh,izsepUn,Option 1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"&&& Hkkjr esa csjkstxkjh dk ,d izeq[k o izR;{k dkj.k gS&",tkfr izFkk,vf'k{kk,/keZ,"A ,oa B",Option 1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"&&& dh n`f""V ls Hkh tkfr izFkk xaHkhj nks""kksa ls ;qDr gS&",{ks=okn ,ijaijk ,Je foHkktu,mi;qZDr lHkh,Option 3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"^ckck lkgc Hkhejko vacsMdj*,d &&& Hkh Fks&",xk;d,vfHkusrk,laxhrdkj,odhy,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"^is'kk cnyus dh Lora=rk u gks rks blds fy, Hkw[kksa ejus ds vykok D;k pkjk jg tkrk gS\**mDr iafDr fdl ikB ls yh xbZ gS \",JefoHkktu vkSj tkfr izFkk,cgknqj,f'{kk vkSj laLd`fr,vkfoU;ksa,Option 1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,MkW Hkhejko vacsMdj us fdl izFkk dks vkfFkZd igyw ls [krjukd ekuk gS \,lrh&izFkk,ngst izFkk,cky&fookg&izFkk,tkfr&izFkk,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,Hkhejko vacsMdj dk tUe fdl ifjokj esa gqvk Fkk \,czkã.k ifjokj esa,{kf=; ijfokj essa,nfyr ifjokj esa,buesa ls dksbZ ugha,Option 3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,Hkhejko vacsMdj ds izsj.kk L=ksr jgs gSa&,cq),dchj,T;ksfrck Qwys,mi;qZDr lHkh,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"vacsndj us Hkkjr dh csjkstxkjh dk izeq[k ,oa izR;{k dkj.k fdls ekuk gS \",dk;Z&vdq'kyrk,tkfrizFkk,m|ksx /ka/kksa dh deh,izfrdwy ifjfLFr;k¡,Option 2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,vacsndj ds vuqlkj HkkbZpkjs dk okLrfod :i gS&, 'kgn dh rjg,nw/k&ikuh ds feJ.k dh rjg, 'kDdj &ikuh dk feJ.k,buesa ls dksbZ ugha,Option 2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,ckck lkgc ds vuqlkj vkn'kZ lekt fdls dgk tkrk gS \,lerk vk/kkfjr,ca/kqRo ij vk/kkfjr,Lora=rk ij vk/kkfjr,lHkh dFku lR; gSa,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,^Je&foHkktu vkSj tkfr&izFkk* ds ys[kd dkSu gSa \,egkRek xk¡/kh,tokgjyky usg:,jke euksgj yksfg;k,Hkhejko vacsndj,Option  4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"Je foHkktu ,oa tkfr izFkk x| dh dkSu&lh fo|k gS \",dgkuh,"Hkk""k.k",fuca/k,yfyr fuca/k,Option  3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"Je foHkktu ,oa tkfr izFkk 'kh""kZd fuca/k dk Hkko D;k gS\",tkfr izFkk dh O;FkZrk ,NqvkNqr,HksnHkko,lHkh xyr gSa,Option  1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,Je foHkktu dSls lekt dh vko';drk gS \,lH; lekt dh,vlH; lekt dh ,nksuksa lgh gSa,lHkh xyr gSa,Option  1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"lekt vkSj jktuhfr esa csgn lfØ; Hkwfedk fuHkkrs g, vacsndj us fdldks ekuork ,oa vf/kdkj fnykus ds fy, vusd iz;kl fd;s \",vNqrksa,fL=;ksa ,etnwjksa,mi;qZDr lHkh,Option  1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"^tkfr izFkk dk Je foHkktu euq""; dh LosPNk ij fuHkZj ugha jgrkA euq""; dh O;fDrxr Hkkouk rFkk O;fDrxr :fp dk blesa dksbZ Lfkku ;k egRo ugha jgrk* &izLrqr x|ka'k fdl ikB ls m)r gSa \",ftr] ftr eSa fuj[kr gw¡,vkfoU;ksa,Je foHkktu vkSj tkfrizFkk,eNyh,Option  3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"^^tkfr izFkk dks Je foHkktu eku fy;k tk, rks ;g LoHkkfod foHkktu ugha gS] D;ksafd ;g euq""; dh :fp ij vk/kkfjr ugha gS*& ;g fdl ikB ls fy;k x;k gS \",f'k{kk vkSj laLd`fr,Je foHkktu vkSj tkfr izFkk,eNyh,ukScr[kkus esa bcknr,Option  4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,tkfr izFkk LokHkkfod foHkktu ugha gS] D;ksa \,:fp ij vk/k`r gksus ds dkj.k,:fp ij vk/kkfjr ugha gkus ds dkj.k,Hksn&Hkko ds dkj.k," 'kks""k.k ds dkj.k",Option  2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"tkfr izFkk Je foHkktu ds lkFk&lkFk fdldk :Ik fy, gq, gS \",Lora=rk dk ,Hkzkr`Ro dk,Jfed foHkktu dk ,buesa ls dksbZ ugha,Option  3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,^vkn'kZ lekt Lora=rk] lekurk] Hkzkr`Ro ij vk/kkfjr gkxk* fdlus dgk \,eSDlewyj,Hkhejko vacsMdj,fcjtw egkjkt,vKs;,Option  2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,lH; lekt dh vko';drk D;k gS \,tkfr&izFkk,Je &foHkktu ,v.kq&ce,nw/k&ikuh,Option  2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,HkkbZpkjs dk nwljk uke D;k gS \,yksdra= ,Je,lewg,jktra=,Option  1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"^cq)k ,.M fgt /kEek* ds ys[kd dkSu gSa \",Hkhejko vacsMdj,tokgjyky usg:,eSDlewyj ,xq.kkdj eqys,Option  1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,Hkkjr esa tkfr&izFkk dk eq[; dkj.k D;k gS \,xjhch,vehjh,csjkstxkjh,jkstxkj,Option  3,
